group_a,group_b,p1,p2,delta,z_stat,pval_raw,ci_low,ci_high,n_a,n_b,pval_adj,reject_H0
Eastern Cape,Free State,0.0023865136589824314,0.0015171948752528658,0.0008693187837295656,1.2569778797800781,0.20876164557791443,-0.00033293495925149313,0.0020715725267106246,19694,5932,0.3006167696321968,False
Eastern Cape,Gauteng,0.0023865136589824314,0.005162346022543214,-0.0027758323635607824,-5.33525820861662,9.540868909270958e-08,-0.003514974703310759,-0.0020366900238108056,19694,240782,1.1449042691125152e-06,True
Eastern Cape,KwaZulu-Natal,0.0023865136589824314,0.00404840208765282,-0.001661888428670389,-3.495568130973671,0.0004730536673416379,-0.002438301654000367,-0.0008854752033404112,19694,111896,0.0028383220040498276,True
Eastern Cape,Limpopo,0.0023865136589824314,0.003664834249541896,-0.0012783205905594645,-2.268110032748144,0.02332250103018136,-0.0023933401120448125,-0.00016330106907411625,19694,18009,0.04664500206036272,True
Eastern Cape,Mpumalanga,0.0023865136589824314,0.0039478255376938385,-0.0015613118787114071,-2.9778094734194327,0.0029031639111636127,-0.0025316047577304277,-0.0005910189996923864,19694,31663,0.013064237600236258,True
Eastern Cape,North West,0.0023865136589824314,0.003719417810888763,-0.0013329041519063315,-2.8767099090611903,0.004018448276622122,-0.002122153802727265,-0.0005436545010853976,19694,89799,0.01324905640092371,True
Eastern Cape,Northern Cape,0.0023865136589824314,0.0021959923140269007,0.00019052134495553064,0.2178568485666652,0.8275406494203483,-0.0014752919025755185,0.0018563345924865798,19694,3643,0.902771617549471,False
Eastern Cape,Western Cape,0.0023865136589824314,0.0036792823332437627,-0.0012927686742613314,-2.8159924087493278,0.004862681565661004,-0.002073750362524693,-0.0005117869859979697,19694,96758,0.014588044696983013,True
Free State,Gauteng,0.0015171948752528658,0.005162346022543214,-0.003645151147290348,-3.903289108223316,9.48942374509406e-05,-0.004676147476549689,-0.002614154818031007,5932,240782,0.0006832385096467723,True
Free State,KwaZulu-Natal,0.0015171948752528658,0.00404840208765282,-0.0025312072123999546,-3.039958570418714,0.002366106940507759,-0.003589242906033427,-0.0014731715187664821,5932,111896,0.01216854997975419,True
Free State,Limpopo,0.0015171948752528658,0.003664834249541896,-0.00214763937428903,-2.567186506098683,0.01025274504470603,-0.003474248045234829,-0.000821030703343231,5932,18009,0.02306867635058857,True
Free State,Mpumalanga,0.0015171948752528658,0.0039478255376938385,-0.0024306306624409728,-2.8828267021583787,0.003941242019512924,-0.003638144763232423,-0.0012231165616495225,5932,31663,0.01324905640092371,True
Free State,North West,0.0015171948752528658,0.003719417810888763,-0.002202222935635897,-2.7493496121990573,0.005971365738013671,-0.0032697139397460627,-0.0011347319315257313,5932,89799,0.015853945371981953,True
Free State,Northern Cape,0.0015171948752528658,0.0021959923140269007,-0.000678797438774035,-0.7660052907981799,0.44367315408930574,-0.0024930619752143814,0.0011354670976663115,5932,3643,0.5771027594211764,False
Free State,Western Cape,0.0015171948752528658,0.0036792823332437627,-0.002162087457990897,-2.7160892593697707,0.006605810571659147,-0.003223480142127101,-0.0011006947738546932,5932,96758,0.015853945371981953,True
Gauteng,KwaZulu-Natal,0.005162346022543214,0.00404840208765282,0.0011139439348903935,4.450578457055801,8.563929892281885e-06,0.0006445220937905485,0.0015833657759902384,240782,111896,7.707536903053697e-05,True
Gauteng,Limpopo,0.005162346022543214,0.003664834249541896,0.0014975117730013179,2.7324887169576906,0.006285782440828308,0.0005697144342857531,0.0024253091117168828,240782,18009,0.015853945371981953,True
Gauteng,Mpumalanga,0.005162346022543214,0.0039478255376938385,0.0012145204848493752,2.8743716480485526,0.004048322789171134,0.00046685235024065096,0.0019621886194580995,240782,31663,0.01324905640092371,True
Gauteng,North West,0.005162346022543214,0.003719417810888763,0.001442928211654451,5.355684590871531,8.523307999892609e-08,0.0009525667329928057,0.001933289690316096,240782,89799,1.1449042691125152e-06,True
Gauteng,Northern Cape,0.005162346022543214,0.0021959923140269007,0.002966353708516313,2.4902911046309697,0.01276385036110568,0.0014195915599995446,0.0045131158570330815,240782,3643,0.027029330176459088,True
Gauteng,Western Cape,0.005162346022543214,0.0036792823332437627,0.001483063689299451,5.674428628777079,1.3915231619179873e-08,0.0010061236869543344,0.0019600036916445677,240782,96758,5.009483382904755e-07,True
KwaZulu-Natal,Limpopo,0.00404840208765282,0.003664834249541896,0.00038356783811092443,0.7573207843877551,0.4488577017720261,-0.0005741868276484824,0.0013413225038703311,111896,18009,0.5771027594211764,False
KwaZulu-Natal,Mpumalanga,0.00404840208765282,0.0039478255376938385,0.00010057654995898179,0.24951242288817044,0.8029644326481917,-0.0006839575395269486,0.0008851106394449122,111896,31663,0.902771617549471,False
KwaZulu-Natal,North West,0.00404840208765282,0.003719417810888763,0.00032898427676405747,1.1778222601710548,0.23886747232929284,-0.00021593817442644328,0.0008739067279545582,111896,89799,0.33073957707132856,False
KwaZulu-Natal,Northern Cape,0.00404840208765282,0.0021959923140269007,0.0018524097736259196,1.7453865182445107,0.08091761082866233,0.00028749468259368135,0.003417324864658158,111896,3643,0.1533175784122023,False
KwaZulu-Natal,Western Cape,0.00404840208765282,0.0036792823332437627,0.0003691197544090576,1.3529673506017286,0.1760660610717102,-0.0001637572144056852,0.0009019967232238004,111896,96758,0.2640990916075653,False
Limpopo,Mpumalanga,0.003664834249541896,0.0039478255376938385,-0.00028299128815194264,-0.4899071764559254,0.6241995845648192,-0.001403680707389777,0.0008376981310858917,18009,31663,0.7248769369139835,False
Limpopo,North West,0.003664834249541896,0.003719417810888763,-5.458356134686697e-05,-0.10995616933652295,0.9124441358681216,-0.0010227733746776928,0.000913606251983959,18009,89799,0.9385139683214965,False
Limpopo,Northern Cape,0.003664834249541896,0.0021959923140269007,0.0014688419355149951,1.3854058041745978,0.165928417226212,-0.00028882989931838885,0.003226513770348379,18009,3643,0.25971404435407097,False
Limpopo,Western Cape,0.003664834249541896,0.0036792823332437627,-1.4448083701866857e-05,-0.029413194122385238,0.9765350499700816,-0.0009759099397935707,0.000947013772389837,18009,96758,0.9765350499700816,False
Mpumalanga,North West,0.0039478255376938385,0.003719417810888763,0.00022840772680507567,0.5695585484635163,0.568977149654694,-0.0005688320441667348,0.0010256474977768863,31663,89799,0.6827725795856329,False
Mpumalanga,Northern Cape,0.0039478255376938385,0.0021959923140269007,0.0017518332236669378,1.6345270287788376,0.10214823565155375,8.221949086879127e-05,0.003421446956465084,31663,3643,0.18386682417279673,False
Mpumalanga,Western Cape,0.0039478255376938385,0.0036792823332437627,0.0002685432044500758,0.6790096573124463,0.49713174293929885,-0.0005205123313019457,0.0010575987402020974,31663,96758,0.617129060200509,False
North West,Northern Cape,0.003719417810888763,0.0021959923140269007,0.0015234254968618621,1.4926903489614605,0.1355182608167302,-4.7897753457468596e-05,0.003094748747181193,89799,3643,0.23231701854296608,False
North West,Western Cape,0.003719417810888763,0.0036792823332437627,4.013547764500011e-05,0.14268808589247062,0.8865365265118423,-0.0005112766901087187,0.0005915476453987189,89799,96758,0.9385139683214965,False
Northern Cape,Western Cape,0.0021959923140269007,0.0036792823332437627,-0.001483290019216862,-1.4623020851478232,0.14365844739884415,-0.003050476716160092,8.389667772636784e-05,3643,96758,0.23507745937992677,False
